workerid,cf,trial
1117,99,7
1117,1,9
1117,99,11
1117,98,13
1117,1,18
1117,99,23
1117,1,10
1117,0,1
1117,3,17
1117,13,20
1117,100,5
1117,97,6
1117,3,8
1117,5,19
1117,46,16
1117,97,4
1117,97,22
1117,99,14
1117,97,24
1117,99,12
1117,3,3
1117,99,21
1117,2,2
1117,60,15
1101,0,
1101,0,
1101,100,11
1101,100,22
1101,100,19
1101,100,13
1101,0,18
1101,100,20
1101,100,7
1101,0,10
1101,100,21
1101,0,14
1101,0,17
1101,99,4
1101,0,8
1101,0,2
1101,0,9
1101,100,5
1101,0,3
1101,0,1
1101,100,23
1101,100,24
1101,100,12
1101,100,15
1138,99,21
1138,1,18
1138,1,9
1138,100,6
1138,99,22
1138,49,16
1138,1,20
1138,100,23
1138,1,8
1138,99,11
1138,99,24
1138,100,19
1138,100,13
1138,20,3
1138,100,14
1138,98,5
1138,1,10
1138,99,4
1138,99,2
1138,99,12
1138,99,1
1138,1,17
1138,99,15
1138,100,7
1114,0,
1114,100,5
1114,98,14
1114,99,13
1114,0,9
1114,98,11
1114,98,12
1114,99,6
1114,98,7
1114,98,20
1114,1,3
1114,1,18
1114,74,16
1114,2,8
1114,1,17
1114,99,15
1114,100,19
1114,2,10
1114,0,2
1114,99,21
1114,98,23
1114,100,22
1114,0,1
1114,86,4
1100,0,
1100,0,
1100,0,19
1100,0,20
1100,0,8
1100,100,5
1100,100,15
1100,100,14
1100,0,9
1100,0,3
1100,99,21
1100,0,2
1100,100,23
1100,0,17
1100,100,24
1100,100,11
1100,100,4
1100,0,10
1100,0,22
1100,0,1
1100,100,7
1100,100,13
1100,0,18
1100,100,16
1091,14,15
1091,49,23
1091,3,18
1091,4,17
1091,92,14
1091,96,2
1091,14,1
1091,73,19
1091,81,5
1091,9,3
1091,84,11
1091,97,13
1091,15,10
1091,93,4
1091,6,9
1091,75,20
1091,92,24
1091,91,16
1091,93,12
1091,2,8
1091,71,22
1091,87,6
1091,82,21
1091,83,7
1124,98,4
1124,65,20
1124,86,21
1124,4,1
1124,0,10
1124,97,7
1124,92,19
1124,2,17
1124,1,14
1124,5,22
1124,95,24
1124,1,9
1124,100,6
1124,99,2
1124,4,3
1124,97,15
1124,2,8
1124,100,5
1124,98,11
1124,63,16
1124,89,18
1124,96,23
1124,97,13
1124,95,12
1112,100,5
1112,0,1
1112,0,3
1112,100,11
1112,100,12
1112,100,21
1112,0,9
1112,0,2
1112,100,24
1112,100,14
1112,100,4
