workerid,age,ethnicity,feedback,gender,race,time
1236,49,Non-Hispanic,nope,Female,White,681179
1218,54,Non-Hispanic,If the red had enough spaces to get to the star on it's own even if the blue didn't help or hinder that that's how I decided. If the red did not have enough steps either way is also how I decided.,Female,White,874173
1232,19,Hispanic,,Female,White,442960
1239,61,Non-Hispanic,What I watched.,Female,White,621157
1204,27,Non-Hispanic,Looked at how helpful blue player was ,Male,White,258715
1244,26,Non-Hispanic,Factors mostly of where the block was placed. And did the red dot have enough time to get there without the blue dot,Female,Black/African American,917320
1251,22,,I decided to take into account the red's path and determined whether blue got in red's way or made the way clear. I then decided to assign blame accordingly. If it looks like blue's moves didn't end up intersecting on its path at all to success or failure then I completely dismissed any contribution to red's success/failure.,,,959467
1209,33,Non-Hispanic,How much the blue player was needed to affect the outcome,Male,White,316883
1248,25,Non-Hispanic,I tried to figure out if the red player would've been able to reach the star without the blue player when I decided. ,Female,Black/African American,800238
1216,19,Non-Hispanic,If the blue character pushed the box in the way then he wasn't helping ,Female,White,734108
1211,39,,just seeing how much the blue player either helped or hurt the red player ,Female,Multiracial,421800
1223,20,Non-Hispanic,,Male,Asian,327501
1213,32,Non-Hispanic,"I think when I make my decisions, I look on if blue is trying to help red or he's trying to block. Then If he doesn't move, and it doesn't bother red's path, I think it is not responsible for the result. ",Male,White,399968
1233,28,Non-Hispanic,I chose the response based on if I thought the blue face blocked or created an access to the star.,Female,Black/African American,810575
1195,41,Non-Hispanic,"For the first half of the questions, I responded in a way thinking the slider was a toggle, either to the right or left. Only after I misclicked and let go of the slider did I realize it was variable.",Male,Native Hawaiian/Pacific Islander,560901
1222,49,Non-Hispanic,"I responded positively if the blue player was helpful, and negatively if the blue player was obviously hindering the red player. I also took into account how many obstacles needed to be moved and how much help the red player would need to reach the star. 

I didn't have any problems, and enjoyed taking part in the experiment. ",Female,White,1050784
1202,27,Non-Hispanic,"Whether the red player could've reached the goal without the blue player's help, whether the blue player caused the red player to need more or less timesteps to reach the star.",Female,White,401945
1214,20,Non-Hispanic,"If the star was blocked by obstacles that could only be moved by the blue player, success or failure was the fault of the blue player. There were cases where the star was accessible but there were not enough timesteps, so the outcome was not the due to the blue player in these cases.",Non-binary,Asian,776584
