trial,box,time,red_actions,red_mental,blue_actions,blue_mental
1,0.5,0.45,0.7,0.35,0.4,0.05
2,0.9,0.25,0.2,0.05,0.2,0.8
3,0.222222222,0.555555556,0.555555556,0.277777778,0.055555556,0.5
4,0.9375,0.4375,0.0625,0.1875,0.1875,0.8125
5,0.5,0.3,0.05,0.05,0.1,0.95
6,0.105263158,0.52631579,0.789473684,0.105263158,0.052631579,0.210526316
7,0.157894737,0.578947368,0.736842105,0.157894737,0,0.157894737
8,0.9,0.2,0.05,0.1,0.15,0.85
9,0.263157895,0.52631579,0.684210526,0.052631579,0,0.263157895
10,0.842105263,0.052631579,0.105263158,0.210526316,0.105263158,0.842105263
11,0.105263158,0.842105263,0.789473684,0.052631579,0.052631579,0.210526316
12,0.052631579,0.789473684,0.736842105,0,0.052631579,0.105263158
13,0.4,0.4,0.8,0.15,0.25,0.25
14,0,0.85,0.95,0.1,0,0.05
15,0.4,0.75,0.8,0.3,0.4,0.25
16,0.9,0.25,0.1,0.1,0.9,0.8
17,0.55,0.25,0.25,0.05,0.3,0.9
18,0.2,0.2,0.85,0.2,0.2,0.25
19,0.25,0.1,0.8,0.2,0.05,0.1
20,0.791666667,0.375,0.458333333,0.1875,0.583333333,0.4375
21,0.35,0.4,0.65,0,0,0.6
22,0.02,0.6,0.9,0.3,0,0.08
23,0.45,0.3,0.4,0,0.3,0.65
24,0.1,0.25,0.75,0.1,0.25,0.4
