workerid,age,ethnicity,feedback,gender,race,time
1465,24,,A factor that decided how I responded was if red could have reached the star and failed even without blue impacting it.,Male,Asian,616381
1456,50,Non-Hispanic,I really tried to decide when watching the replays if there were any better options for either that they failed to make. Sometimes it was just that the puzzle was set up in a way neither could succeed.,Female,White,3236590
1481,33,Non-Hispanic,Whether or not the blue player created an obstruction or clear path and whether or not the red player took a path that made sense or not.,Female,Multiracial,948651
1441,25,Non-Hispanic,"most of it came down to how the blue moved. if the red obviously made a mistake then it was reds fault, but most of the time it was the blue player that determined whether the red won or lost ",Female,White,1286596
1444,25,Non-Hispanic,"I considered who's actions contributed to the success or failure of the game, whether it be through a mistake or purposeful malice.",Male,White,510946
1467,29,Hispanic,"whether or not red took the best path, and whether or not blue helped or got in the way.",Female,American Indian/Alaska Native,1237688
1472,21,Non-Hispanic,"The biggest influencing factor was whether blue intentionally made it more difficult or not. If not, then blue shared relatively equal amounts of credit as red, however if there was hinderance, then blue got a lot of the blame. However, I would also assign blame to red for taking the route that would allow for such compromising positions, especially if there was a path that could be taken that would not rely on blue's cooperation. ",Male,Asian,713282
1447,21,Non-Hispanic,wether or not red could have won if blue had not moved the box in red's way.,Female,White,743059
1450,76,Non-Hispanic,How often red had to change direction,Female,White,2050771
1486,34,Non-Hispanic,"The effort made to progress by the red and the help or hindrance given by the blue. Also, how willing the red seemed to trust and/or work with the red. ",Female,White,1937725
1439,48,Non-Hispanic,I decided my response based on the direct route of the red player and how the blue player responded (either to help the red player or block them from reaching the star).,Male,White,981956
1485,22,Non-Hispanic,I was influenced by how each player moved depending on the situation.,Non-binary,White,432651
1443,20,Non-Hispanic,,Male,White,1135510
1482,51,Non-Hispanic,"Sometimes blue would purposely hinder red's movement, sometimes they would work equally as a team and sometimes blue would help but red would use extra moves or go the wrong way.",Female,White,1962452
1461,42,,"Weather they each made the right decision in there moves, if they were careless with their moves, and if they intentionally made the wrong moves.",Female,White,1854371
1463,37,,Mostly whether the blue player appeared to help or hinder and if the red player accepted help when given.,Male,White,1125373
1491,34,,"Watching the players closely and judging their movements around the grid to the star. No questions or comments, this was a fun study!",Female,White,1017747
1480,45,Non-Hispanic,sometimes I felt like the blue character was not in the way and the red character went out of the way for no reason. I enjoyed the experiment. thanks,Female,White,1606731
1449,79,Non-Hispanic,The blue player didn't know how to play the game and missed many chances to do better,Male,White,1069661
1460,21,Non-Hispanic,"If blue deliberately blocked the path I blamed them for failure and if red chose an illogical path or didn't move, I blamed them.",Female,Multiracial,769038
1462,20,Non-Hispanic,seeing how much effort each player put into their decisions; no,Female,White,554143
1448,23,Non-Hispanic,Whether or not blue blocked the red.,Female,White,697642
1445,58,Non-Hispanic,I just thought of if someone was to blame more than the other for either the success or failure,Female,White,894312
1475,22,Non-Hispanic,"My response was based on whether or not one of the dots could've succeeded without the other. If red could do it all by themselves, they were 100% responsible for the outcome. If blue hindered red's ability to reach the star, they were 100% responsible for the outcome. If blue helped by moving the box out of the way so red could reach the star, both parties are responsible, but blue more so because red most of the time would likely not reach the star if blue hadn't helped.",Female,White,726625
1469,27,Non-Hispanic,I felt like success was more often attributed to red but failure to blue.,Female,White,512883
1477,26,Non-Hispanic,The factors that influenced how I decided to respond are the success/failure of the goal and whether or not the players collaborated to achieve the goal and whether or not each player did their role in a way that helps the other. ,Female,White,768998
1495,28,Non-Hispanic,"How blue moved influenced if I thought blue was responsible for success or failure. If blue did not move a box that was needed, blue was more responsible for failure. 
Also, how red moved also influenced. Sometimes red made senseless moves that caused failure. Or red moved in a way that they still succeed despite blue almost messing it up. ",Female,White,1238552
1493,23,Non-Hispanic,"Whether Red took the most logical path according to how Blue acted, and whether Blue's actions or lack thereof contributed to Red's inability to determine the best path.",Male,Asian,837252
1474,25,Non-Hispanic,"If red had multiple routes to choose from I deemed them much more culpable for the result than blue. If blue was helpful and moved predictably then I gave them more credit, especially when their assistance was the only way to achieve the win condition.",Non-binary,Multiracial,910681
1457,22,Non-Hispanic,Whether red could have made it to the star without blue doing anything,Female,White,1155595
1452,25,Non-Hispanic,Whether the red player was able to complete the game depending on if it was their own fault or because of the blue player influenced my decisions.,Male,Asian,952424
1464,26,Hispanic,,Male,White,1425653
1483,,Non-Hispanic,if the box could be moved in or out of the way in time.  If the number of moves to get through the maze could be done in the moves allowed,Male,White,730141
1451,37,Non-Hispanic,"In judged which movements were necessary, which were unnecessary, and which were harmful.",Male,White,612407
1473,34,,"how many moves blue made to help red even though just one move could win or fail the game for red. and one move could be just as important for red as many moves. note the boxes for the questions were very pale and difficult to find, I thought",Male,White,3930427
1470,20,Non-Hispanic,I just considered whose decisions impacted the result the most. ,Female,White,1042368
1454,37,Non-Hispanic,Thank you for the survey opportunity.,Male,White,2778162
1438,22,Non-Hispanic,the blue player's actions and the red player's strategy.,Female,White,635926
1488,46,Non-Hispanic,"The routes red took, and where blue moved the box.",Male,White,636783
1494,28,Non-Hispanic,,Male,White,343991
1466,23,Non-Hispanic,"Factors that influenced my decision includes whether the blue player was helping, hindering, or making no impact.  Another factor was whether the player was making a smart move or not.  For instance, I was more likely to blame the player if they didn't choose the path that couldn't be blocked by the blue player.",Female,White,1692410
1490,40,Non-Hispanic,I do not think it was made clear if either player was aware of the others intention or purpose in the game. Red often seemed impatient or relied to heavily on blue making the right moves. Blue in general seemed to help red more often than not.,Male,White,1244098
1458,47,Non-Hispanic,See how the blue player moves,Male,Black/African American,1200763
1442,70,Non-Hispanic,I looked at how helpful or unhelpful the blue person was in each scenario,Female,White,1310792
1476,35,Non-Hispanic,If they reached goal even without blue doing anything.,Male,White,680146
1446,20,Non-Hispanic,,Female,White,574690
1484,27,Non-Hispanic,"Factors included whether or not a player sabotaged the other, and whether or not the game could be completed without the help of the other.",Male,Asian,374766
1487,54,Non-Hispanic,I responded based on how efficiently the red and blue moved and what actions they took.,Female,Black/African American,1500627
1492,30,Non-Hispanic,"What influenced how I decided to respond, was if it was necessary for the blue player to move a box out of the way or not.",Male,White,740171
1440,20,Non-Hispanic,"Not knowing the intention of the players, not being able to see their thought process, if blue still tried to help even if not necessary.",Male,Asian,646236
