trial,outcome,cf_success_rate,inferred_intention,numerical_intention,blue_effort
1,fail,0,help,91.3254,5
2,success,0,help,99.9176,5
3,fail,72,help,54.7402,5
4,success,84,help,54.7402,5
5,fail,94,hinder,0.2559,5
6,success,96,hinder,0.2559,5
7,success,34,help,93.7137,6
8,success,28,help,93.7137,6
9,success,98,help,96.5335,5
10,success,100,help,96.5335,5
11,fail,0,help,74.4083,7
12,fail,0,help,76.4343,7
13,success,93,hinder,0.064,5
14,fail,88,hinder,0.0864,5
15,fail,0,help,99.838,5
16,success,0,help,99.838,5
17,fail,95,hinder,0.0745,4
18,success,60,hinder,0.0745,4
19,success,72,hinder,42.5842,2
20,fail,72,hinder,42.5842,2
21,success,86,help,98.7173,1
22,fail,76,help,98.7173,1
23,fail,73,hinder,18.6919,3
24,success,72,hinder,29.0603,3
